"","Absence_points","NA"
"X1.51",50367.79614636,634628.12446946
"X1.52",50367.79614636,1009048.12446946
"X1.53",51024.79614636,-45696.87553054
"X1.54",51681.79614636,160813.12446946
"X1.55",52338.79614636,504353.12446946
"X1.56",52995.79614636,972378.12446946
"X1.57",53652.79614636,1054403.12446946
"X1.58",54309.79614636,-57276.87553054
"X1.59",56937.79614636,35363.12446946
"X1.60",57594.79614636,85543.12446946
"X1.61",58251.79614636,-140266.87553054
"X1.62",58251.79614636,-88156.87553054
"X1.63",59565.79614636,539093.12446946
"X1.64",60222.79614636,591203.12446946
"X1.65",60879.79614636,376008.12446946
"X1.66",62193.79614636,121248.12446946
"X1.67",64821.79614636,-769446.87553054
"X1.68",65478.79614636,277578.12446946
"X1.69",66135.79614636,-221326.87553054
"X1.70",66792.79614636,526548.12446946
"X1.71",66792.79614636,936673.12446946
"X1.72",67449.79614636,30538.12446946
"X1.73",68763.79614636,-577411.87553054
"X1.74",68763.79614636,55628.12446946
"X1.75",70734.79614636,808328.12446946
"X1.76",72048.79614636,-1000081.87553054
"X1.77",72048.79614636,88438.12446946
"X1.78",72705.79614636,-970166.87553054
"X1.79",72705.79614636,769728.12446946
"X1.80",73362.79614636,-298526.87553054
"X1.81",74019.79614636,333548.12446946
"X1.82",75333.79614636,-973061.87553054
"X1.83",75333.79614636,291088.12446946
"X1.84",75333.79614636,1095898.12446946
"X1.85",77961.79614636,-939286.87553054
"X1.86",77961.79614636,-928671.87553054
"X1.87",77961.79614636,-213606.87553054
"X1.88",77961.79614636,372148.12446946
"X1.89",78618.79614636,-929636.87553054
"X1.90",78618.79614636,-735671.87553054
"X1.91",78618.79614636,-601536.87553054
"X1.92",78618.79614636,-505036.87553054
"X1.93",78618.79614636,519793.12446946
"X1.94",78618.79614636,1029313.12446946
"X1.95",79275.79614636,-923846.87553054
"X1.96",79275.79614636,-645926.87553054
"X1.97",79275.79614636,1039928.12446946
"X1.98",79932.79614636,-122896.87553054
"X1.99",80589.79614636,-1042541.87553054
"X1.100",82560.79614636,-786816.87553054
"X1.101",82560.79614636,528478.12446946
"X1.102",82560.79614636,998433.12446946
"X1.103",83217.79614636,-120966.87553054
"X1.104",83217.79614636,831488.12446946
"X1.105",83874.79614636,-58241.87553054
"X1.106",83874.79614636,751393.12446946
"X1.107",84531.79614636,249593.12446946
"X1.108",85188.79614636,-344846.87553054
"X1.109",85188.79614636,50803.12446946
"X1.110",85845.79614636,-1030961.87553054
"X1.111",85845.79614636,-112281.87553054
"X1.112",87159.79614636,293018.12446946
"X1.113",89130.79614636,-991396.87553054
"X1.114",89130.79614636,791923.12446946
"X1.115",90444.79614636,-931566.87553054
"X1.116",90444.79614636,-673911.87553054
"X1.117",91101.79614636,-949901.87553054
"X1.118",91758.79614636,-426871.87553054
"X1.119",91758.79614636,-39906.87553054
"X1.120",91758.79614636,587343.12446946
"X1.121",92415.79614636,-402746.87553054
"X1.122",93729.79614636,141513.12446946
"X1.123",94386.79614636,-760761.87553054
"X1.124",94386.79614636,333548.12446946
"X1.125",94386.79614636,354778.12446946
"X1.126",94386.79614636,955008.12446946
"X1.127",95043.79614636,-547496.87553054
"X1.128",95043.79614636,1099758.12446946
"X1.129",95700.79614636,-987536.87553054
"X1.130",95700.79614636,148268.12446946
"X1.131",96357.79614636,747533.12446946
"X1.132",97014.79614636,788063.12446946
"X1.133",97671.79614636,1077563.12446946
"X1.134",100299.79614636,-806116.87553054
"X1.135",100299.79614636,-427836.87553054
"X1.136",100299.79614636,182043.12446946
"X1.137",100299.79614636,958868.12446946
"X1.138",100956.79614636,180113.12446946
"X1.139",101613.79614636,-934461.87553054
"X1.140",101613.79614636,-688386.87553054
"X1.141",101613.79614636,546813.12446946
"X1.142",102270.79614636,131863.12446946
"X1.143",104898.79614636,-310106.87553054
"X1.144",104898.79614636,-202991.87553054
"X1.145",104898.79614636,629803.12446946
"X1.146",105555.79614636,946323.12446946
"X1.147",106212.79614636,-819626.87553054
"X1.148",107526.79614636,165638.12446946
"X1.149",108183.79614636,500493.12446946
"X1.150",108840.79614636,-18676.87553054
"X1.151",109497.79614636,-127721.87553054
"X1.152",110154.79614636,-627591.87553054
"X1.153",110154.79614636,531373.12446946
"X1.154",110154.79614636,648138.12446946
"X1.155",110154.79614636,953078.12446946
"X1.156",110811.79614636,-1046401.87553054
"X1.157",110811.79614636,-870771.87553054
"X1.158",111468.79614636,-141231.87553054
"X1.159",112125.79614636,23783.12446946
"X1.160",112782.79614636,-720231.87553054
"X1.161",112782.79614636,-522406.87553054
"X1.162",112782.79614636,1033173.12446946
"X1.163",113439.79614636,-35081.87553054
"X1.164",114096.79614636,457068.12446946
"X1.165",114096.79614636,664543.12446946
"X1.166",116067.79614636,-185621.87553054
"X1.167",116724.79614636,349953.12446946
"X1.168",117381.79614636,165638.12446946
"X1.169",118038.79614636,-383446.87553054
"X1.170",118038.79614636,676123.12446946
"X1.171",119352.79614636,-1019381.87553054
"X1.172",119352.79614636,-1015521.87553054
"X1.173",119352.79614636,259243.12446946
"X1.174",120009.79614636,-198166.87553054
"X1.175",120009.79614636,373113.12446946
"X1.176",121323.79614636,-483806.87553054
"X1.177",121323.79614636,531373.12446946
"X1.178",121980.79614636,-916126.87553054
"X1.179",122637.79614636,806398.12446946
"X1.180",125922.79614636,779378.12446946
"X1.181",126579.79614636,215818.12446946
"X1.182",126579.79614636,333548.12446946
"X1.183",127893.79614636,854648.12446946
"X1.184",129864.79614636,-580306.87553054
"X1.185",129864.79614636,149233.12446946
"X1.186",129864.79614636,934743.12446946
"X1.187",130521.79614636,861403.12446946
"X1.188",133149.79614636,-516616.87553054
"X1.189",133149.79614636,683843.12446946
"X1.190",133806.79614636,-119036.87553054
"X1.191",134463.79614636,280473.12446946
"X1.192",135120.79614636,783238.12446946
"X1.193",135777.79614636,-706721.87553054
"X1.194",135777.79614636,-355461.87553054
"X1.195",136434.79614636,-919021.87553054
"X1.196",136434.79614636,653928.12446946
"X1.197",137091.79614636,-194306.87553054
"X1.198",137091.79614636,911583.12446946
"X1.199",137091.79614636,918338.12446946
"X1.200",137748.79614636,-643031.87553054
"X1.201",137748.79614636,-23501.87553054
"X1.202",140376.79614636,695423.12446946
"X1.203",141033.79614636,-637241.87553054
"X1.204",141033.79614636,193623.12446946
"X1.205",141690.79614636,-1047366.87553054
"X1.206",141690.79614636,-915161.87553054
"X1.207",143004.79614636,123178.12446946
"X1.208",143004.79614636,345128.12446946
"X1.209",143661.79614636,1065018.12446946
"X1.210",144318.79614636,-21571.87553054
"X1.211",144975.79614636,-769446.87553054
"X1.212",146946.79614636,613398.12446946
"X1.213",148260.79614636,-533986.87553054
"X1.214",150888.79614636,-843751.87553054
"X1.215",151545.79614636,156953.12446946
"X1.216",151545.79614636,451278.12446946
"X1.217",152202.79614636,-318791.87553054
"X1.218",152202.79614636,949218.12446946
"X1.219",152859.79614636,170463.12446946
"X1.220",152859.79614636,403993.12446946
"X1.221",152859.79614636,765868.12446946
"X1.222",153516.79614636,-383446.87553054
"X1.223",154173.79614636,-128686.87553054
"X1.224",156144.79614636,-421081.87553054
"X1.225",156144.79614636,-338091.87553054
"X1.226",156144.79614636,799643.12446946
"X1.227",156144.79614636,1045718.12446946
"X1.228",157458.79614636,322933.12446946
"X1.229",158115.79614636,-393096.87553054
"X1.230",158772.79614636,-828311.87553054
"X1.231",158772.79614636,933778.12446946
"X1.232",160086.79614636,-949901.87553054
"X1.233",160086.79614636,515933.12446946
"X1.234",160086.79614636,645243.12446946
"X1.235",160743.79614636,-405641.87553054
"X1.236",160743.79614636,870088.12446946
"X1.237",161400.79614636,-233871.87553054
"X1.238",162057.79614636,1068878.12446946
"X1.239",163371.79614636,-843751.87553054
"X1.240",163371.79614636,336443.12446946
"X1.241",164028.79614636,-223256.87553054
"X1.242",164028.79614636,388553.12446946
"X1.243",165999.79614636,135723.12446946
"X1.244",167313.79614636,-911301.87553054
"X1.245",167313.79614636,-590921.87553054
"X1.246",167313.79614636,131863.12446946
"X1.247",167970.79614636,-270541.87553054
"X1.248",167970.79614636,330653.12446946
"X1.249",167970.79614636,801573.12446946
"X1.250",169284.79614636,139583.12446946
"X1.251",169941.79614636,-1010696.87553054
"X1.252",171912.79614636,-506966.87553054
"X1.253",171912.79614636,568043.12446946
"X1.254",172569.79614636,191693.12446946
"X1.255",172569.79614636,277578.12446946
"X1.256",173883.79614636,-957621.87553054
"X1.257",175197.79614636,-63066.87553054
"X1.258",175854.79614636,-767516.87553054
"X1.259",175854.79614636,997468.12446946
"X1.260",177168.79614636,17993.12446946
"X1.261",177168.79614636,373113.12446946
"X1.262",177825.79614636,-952796.87553054
"X1.263",177825.79614636,-891036.87553054
"X1.264",178482.79614636,-64996.87553054
"X1.265",178482.79614636,298808.12446946
"X1.266",178482.79614636,898073.12446946
"X1.267",179139.79614636,477333.12446946
"X1.268",179139.79614636,897108.12446946
"X1.269",181110.79614636,-852436.87553054
"X1.270",181767.79614636,-956656.87553054
"X1.271",181767.79614636,930883.12446946
"X1.272",182424.79614636,-242556.87553054
"X1.273",183081.79614636,-372831.87553054
"X1.274",183738.79614636,-52451.87553054
"X1.275",183738.79614636,1039928.12446946
"X1.276",184395.79614636,-1039646.87553054
"X1.277",184395.79614636,-1029031.87553054
"X1.278",185052.79614636,1079493.12446946
"X1.279",188994.79614636,-914196.87553054
"X1.280",189651.79614636,37293.12446946
"X1.281",189651.79614636,900003.12446946
"X1.282",190965.79614636,299773.12446946
"X1.283",192936.79614636,-436521.87553054
"X1.284",192936.79614636,-217466.87553054
"X1.285",192936.79614636,156953.12446946
"X1.286",192936.79614636,541988.12446946
"X1.287",193593.79614636,-405641.87553054
"X1.288",194907.79614636,-961481.87553054
"X1.289",194907.79614636,364428.12446946
"X1.290",195564.79614636,-1018416.87553054
"X1.291",195564.79614636,-658471.87553054
"X1.292",195564.79614636,-408536.87553054
"X1.293",195564.79614636,49838.12446946
"X1.294",196221.79614636,71068.12446946
"X1.295",196878.79614636,-627591.87553054
"X1.296",196878.79614636,-192376.87553054
"X1.297",196878.79614636,232223.12446946
"X1.298",196878.79614636,475403.12446946
"X1.299",197535.79614636,-322651.87553054
"X1.300",198192.79614636,-1001046.87553054
"X1.301",198192.79614636,225468.12446946
"X1.302",199506.79614636,-943146.87553054
"X1.303",201477.79614636,-98771.87553054
"X1.304",202134.79614636,-31221.87553054
"X1.305",202134.79614636,202308.12446946
"X1.306",202134.79614636,962728.12446946
"X1.307",204762.79614636,536198.12446946
"X1.308",205419.79614636,-748216.87553054
"X1.309",206076.79614636,-146056.87553054
"X1.310",206733.79614636,520758.12446946
"X1.311",208704.79614636,438733.12446946
"X1.312",209361.79614636,-711546.87553054
"X1.313",209361.79614636,-616976.87553054
"X1.314",209361.79614636,310388.12446946
"X1.315",209361.79614636,602783.12446946
"X1.316",210018.79614636,-407571.87553054
"X1.317",211989.79614636,-120966.87553054
"X1.318",211989.79614636,182043.12446946
"X1.319",211989.79614636,475403.12446946
"X1.320",213960.79614636,-737601.87553054
"X1.321",213960.79614636,888423.12446946
"X1.322",214617.79614636,230293.12446946
"X1.323",215274.79614636,129933.12446946
"X1.324",215274.79614636,397238.12446946
"X1.325",215931.79614636,203273.12446946
"X1.326",216588.79614636,-712511.87553054
"X1.327",217245.79614636,809293.12446946
"X1.328",219216.79614636,-395991.87553054
"X1.329",219216.79614636,-98771.87553054
"X1.330",220530.79614636,-1033856.87553054
"X1.331",221187.79614636,-226151.87553054
"X1.332",221187.79614636,254418.12446946
"X1.333",221844.79614636,-280191.87553054
"X1.334",221844.79614636,-249311.87553054
"X1.335",221844.79614636,-132546.87553054
"X1.336",223815.79614636,660683.12446946
"X1.337",223815.79614636,915443.12446946
"X1.338",224472.79614636,-902616.87553054
"X1.339",224472.79614636,740778.12446946
"X1.340",224472.79614636,1088178.12446946
"X1.341",225129.79614636,-1064736.87553054
"X1.342",225786.79614636,525583.12446946
"X1.343",225786.79614636,1041858.12446946
"X1.344",226443.79614636,566113.12446946
"X1.345",227757.79614636,-724091.87553054
"X1.346",227757.79614636,128968.12446946
"X1.347",229071.79614636,-1052191.87553054
"X1.348",229071.79614636,-204921.87553054
"X1.349",229071.79614636,1010013.12446946
"X1.350",230385.79614636,34398.12446946
"X1.351",230385.79614636,126073.12446946
"X1.352",231042.79614636,-609256.87553054
"X1.353",232356.79614636,-72716.87553054
"X1.354",233013.79614636,553568.12446946
"X1.355",234327.79614636,-710581.87553054
"X1.356",235641.79614636,-360286.87553054
"X1.357",236298.79614636,-935426.87553054
"X1.358",237612.79614636,896143.12446946
"X1.359",238269.79614636,-559076.87553054
"X1.360",238269.79614636,105808.12446946
"X1.361",239583.79614636,498563.12446946
"X1.362",240240.79614636,-960516.87553054
"X1.363",240240.79614636,524618.12446946
"X1.364",240897.79614636,-683561.87553054
"X1.365",240897.79614636,-55346.87553054
"X1.366",242211.79614636,-487666.87553054
"X1.367",242211.79614636,-175006.87553054
"X1.368",242868.79614636,946323.12446946
"X1.369",243525.79614636,22818.12446946
"X1.370",244182.79614636,-820591.87553054
"X1.371",244182.79614636,-372831.87553054
"X1.372",244839.79614636,-470296.87553054
"X1.373",245496.79614636,183973.12446946
"X1.374",246153.79614636,41153.12446946
"X1.375",246153.79614636,77823.12446946
"X1.376",246810.79614636,-914196.87553054
"X1.377",247467.79614636,205203.12446946
"X1.378",247467.79614636,435838.12446946
"X1.379",248124.79614636,-155706.87553054
"X1.380",248124.79614636,-5166.87553054
"X1.381",248124.79614636,144408.12446946
"X1.382",249438.79614636,586378.12446946
"X1.383",250095.79614636,188798.12446946
"X1.384",250752.79614636,-75611.87553054
"X1.385",251409.79614636,-496351.87553054
"X1.386",252066.79614636,-528196.87553054
"X1.387",252723.79614636,-642066.87553054
"X1.388",252723.79614636,766833.12446946
"X1.389",254694.79614636,94228.12446946
"X1.390",255351.79614636,-301421.87553054
"X1.391",255351.79614636,-111316.87553054
"X1.392",255351.79614636,388553.12446946
"X1.393",256008.79614636,337408.12446946
"X1.394",256665.79614636,490843.12446946
"X1.395",256665.79614636,615328.12446946
"X1.396",257322.79614636,-723126.87553054
"X1.397",257322.79614636,-707686.87553054
"X1.398",257322.79614636,-499246.87553054
"X1.399",257322.79614636,-276331.87553054
"X1.400",258636.79614636,-302386.87553054
"X1.401",258636.79614636,-175006.87553054
"X1.402",258636.79614636,533303.12446946
"X1.403",259293.79614636,65278.12446946
"X1.404",259950.79614636,-229046.87553054
"X1.405",259950.79614636,-156671.87553054
"X1.406",260607.79614636,-1018416.87553054
"X1.407",260607.79614636,180113.12446946
"X1.408",261921.79614636,567078.12446946
"X1.409",262578.79614636,-984641.87553054
"X1.410",263235.79614636,574798.12446946
"X1.411",264549.79614636,814118.12446946
"X1.412",265206.79614636,-904546.87553054
"X1.413",265206.79614636,-539776.87553054
"X1.414",267177.79614636,-1012626.87553054
"X1.415",267177.79614636,170463.12446946
"X1.416",267177.79614636,945358.12446946
"X1.417",268491.79614636,-696106.87553054
"X1.418",268491.79614636,939568.12446946
"X1.419",269805.79614636,-992361.87553054
"X1.420",269805.79614636,408818.12446946
"X1.421",269805.79614636,758148.12446946
"X1.422",270462.79614636,-639171.87553054
"X1.423",271119.79614636,-425906.87553054
"X1.424",271776.79614636,203273.12446946
"X1.425",272433.79614636,864298.12446946
"X1.426",273090.79614636,-655576.87553054
"X1.427",273090.79614636,274683.12446946
"X1.428",273747.79614636,-613116.87553054
"X1.429",273747.79614636,-533986.87553054
"X1.430",273747.79614636,387588.12446946
"X1.431",273747.79614636,616293.12446946
"X1.432",275061.79614636,-719266.87553054
"X1.433",275061.79614636,-656541.87553054
"X1.434",275061.79614636,-474156.87553054
"X1.435",275718.79614636,-295631.87553054
"X1.436",277032.79614636,-667156.87553054
"X1.437",277689.79614636,-681631.87553054
"X1.438",278346.79614636,-698036.87553054
"X1.439",279003.79614636,-875596.87553054
"X1.440",279003.79614636,-304316.87553054
"X1.441",279003.79614636,335478.12446946
"X1.442",279003.79614636,772623.12446946
"X1.443",280317.79614636,-919021.87553054
"X1.444",281631.79614636,-1041576.87553054
"X1.445",282288.79614636,-39906.87553054
"X1.446",282945.79614636,-883316.87553054
"X1.447",282945.79614636,474438.12446946
"X1.448",283602.79614636,222573.12446946
"X1.449",285573.79614636,-214571.87553054
"X1.450",286230.79614636,262138.12446946
"X1.451",286887.79614636,472508.12446946
"X1.452",287544.79614636,-313966.87553054
"X1.453",288201.79614636,1003258.12446946
"X1.454",288858.79614636,-721196.87553054
"X1.455",288858.79614636,1026418.12446946
"X1.456",289515.79614636,1588.12446946
"X1.457",290172.79614636,-693211.87553054
"X1.458",290172.79614636,476368.12446946
"X1.459",290829.79614636,318108.12446946
"X1.460",291486.79614636,-622766.87553054
"X1.461",291486.79614636,-6131.87553054
"X1.462",292143.79614636,-438451.87553054
"X1.463",292143.79614636,-130616.87553054
"X1.464",292143.79614636,-49556.87553054
"X1.465",293457.79614636,142478.12446946
"X1.466",294114.79614636,-710581.87553054
"X1.467",294771.79614636,-263786.87553054
"X1.468",296085.79614636,331618.12446946
"X1.469",297399.79614636,62383.12446946
"X1.470",297399.79614636,988783.12446946
"X1.471",299370.79614636,118353.12446946
"X1.472",300027.79614636,365393.12446946
"X1.473",300684.79614636,844033.12446946
"X1.474",301341.79614636,-988501.87553054
"X1.475",301341.79614636,-28326.87553054
"X1.476",301998.79614636,526548.12446946
"X1.477",302655.79614636,-415291.87553054
"X1.478",302655.79614636,210028.12446946
"X1.479",303312.79614636,-727951.87553054
"X1.480",304626.79614636,-1012626.87553054
"X1.481",304626.79614636,-40871.87553054
"X1.482",304626.79614636,1067913.12446946
"X1.483",305283.79614636,-804186.87553054
"X1.484",305283.79614636,-577411.87553054
"X1.485",305283.79614636,-343881.87553054
"X1.486",306597.79614636,-846646.87553054
"X1.487",306597.79614636,-781026.87553054
"X1.488",306597.79614636,-289841.87553054
"X1.489",307254.79614636,-406606.87553054
"X1.490",307254.79614636,850788.12446946
"X1.491",307254.79614636,1100723.12446946
"X1.492",307911.79614636,-832171.87553054
"X1.493",307911.79614636,-555216.87553054
"X1.494",307911.79614636,164673.12446946
"X1.495",307911.79614636,202308.12446946
"X1.496",307911.79614636,895178.12446946
"X1.497",307911.79614636,987818.12446946
"X1.498",308568.79614636,-956656.87553054
"X1.499",309225.79614636,833418.12446946
"X1.500",309225.79614636,1049578.12446946
"X1.501",309882.79614636,-239661.87553054
"X1.502",310539.79614636,347058.12446946
"X1.503",311853.79614636,-737601.87553054
"X1.504",311853.79614636,-645926.87553054
"X1.505",312510.79614636,-340986.87553054
"X1.506",313167.79614636,-247381.87553054
"X1.507",313167.79614636,79753.12446946
"X1.508",313824.79614636,-651716.87553054
"X1.509",313824.79614636,-554251.87553054
"X1.510",314481.79614636,-194306.87553054
"X1.511",314481.79614636,232223.12446946
"X1.512",315795.79614636,318108.12446946
"X1.513",315795.79614636,470578.12446946
"X1.514",316452.79614636,-763656.87553054
"X1.515",317109.79614636,65278.12446946
"X1.516",319080.79614636,-918056.87553054
"X1.517",319080.79614636,-470296.87553054
"X1.518",319737.79614636,-123861.87553054
"X1.519",320394.79614636,-200096.87553054
"X1.520",321051.79614636,-954726.87553054
"X1.521",321051.79614636,297843.12446946
"X1.522",321708.79614636,61418.12446946
"X1.523",323022.79614636,-367041.87553054
"X1.524",323679.79614636,-1029031.87553054
"X1.525",323679.79614636,356708.12446946
"X1.526",324336.79614636,-955691.87553054
"X1.527",325650.79614636,-604431.87553054
"X1.528",325650.79614636,469613.12446946
"X1.529",326307.79614636,915443.12446946
"X1.530",326964.79614636,524618.12446946
"X1.531",326964.79614636,912548.12446946
"X1.532",328278.79614636,-872701.87553054
"X1.533",328935.79614636,-689351.87553054
"X1.534",328935.79614636,821838.12446946
"X1.535",329592.79614636,1072738.12446946
"X1.536",330906.79614636,-708651.87553054
"X1.537",331563.79614636,-1055086.87553054
"X1.538",332220.79614636,839208.12446946
"X1.539",332220.79614636,1004223.12446946
"X1.540",332877.79614636,-498281.87553054
"X1.541",332877.79614636,173358.12446946
"X1.542",333534.79614636,1004223.12446946
"X1.543",334191.79614636,-1047366.87553054
"X1.544",334191.79614636,-969201.87553054
"X1.545",334191.79614636,-528196.87553054
"X1.546",334191.79614636,28608.12446946
"X1.547",334191.79614636,486983.12446946
"X1.548",334848.79614636,-857261.87553054
"X1.549",334848.79614636,-232906.87553054
"X1.550",335505.79614636,863333.12446946
"X1.551",336162.79614636,-62101.87553054
"X1.552",336162.79614636,139583.12446946
"X1.553",336162.79614636,151163.12446946
"X1.554",336819.79614636,1033173.12446946
"X1.555",337476.79614636,-988501.87553054
"X1.556",337476.79614636,-666191.87553054
"X1.557",337476.79614636,-74646.87553054
"X1.558",337476.79614636,402063.12446946
"X1.559",338790.79614636,815083.12446946
"X1.560",339447.79614636,171428.12446946
"X1.561",339447.79614636,206168.12446946
"X1.562",339447.79614636,1042823.12446946
"X1.563",342075.79614636,454173.12446946
"X1.564",342732.79614636,376973.12446946
"X1.565",344046.79614636,-915161.87553054
"X1.566",344703.79614636,-964376.87553054
"X1.567",344703.79614636,286263.12446946
"X1.568",344703.79614636,708933.12446946
"X1.569",345360.79614636,-44731.87553054
"X1.570",346017.79614636,-770411.87553054
"X1.571",346017.79614636,688668.12446946
"X1.572",346674.79614636,321968.12446946
"X1.573",347331.79614636,-363181.87553054
"X1.574",347988.79614636,-145091.87553054
"X1.575",348645.79614636,742708.12446946
"X1.576",349302.79614636,-879456.87553054
"X1.577",349302.79614636,-547496.87553054
"X1.578",351273.79614636,-427836.87553054
"X1.579",351273.79614636,-119036.87553054
"X1.580",351930.79614636,849823.12446946
"X1.581",353901.79614636,723408.12446946
"X1.582",355872.79614636,-284051.87553054
"X1.583",356529.79614636,808328.12446946
"X1.584",357843.79614636,399168.12446946
"X1.585",357843.79614636,739813.12446946
"X1.586",359157.79614636,-79471.87553054
"X1.587",359814.79614636,-762691.87553054
"X1.588",359814.79614636,136688.12446946
"X1.589",359814.79614636,1010013.12446946
"X1.590",360471.79614636,-160531.87553054
"X1.591",360471.79614636,1008083.12446946
"X1.592",360471.79614636,1024488.12446946
"X1.593",361128.79614636,998433.12446946
"X1.594",361785.79614636,92298.12446946
"X1.595",361785.79614636,962728.12446946
"X1.596",363756.79614636,-937356.87553054
"X1.597",363756.79614636,45978.12446946
"X1.598",363756.79614636,645243.12446946
"X1.599",364413.79614636,798678.12446946
"X1.600",365727.79614636,-401781.87553054
"X1.601",365727.79614636,914478.12446946
"X1.602",367041.79614636,-1050261.87553054
"X1.603",367041.79614636,109668.12446946
"X1.604",367698.79614636,917373.12446946
"X1.605",368355.79614636,-55346.87553054
"X1.606",369669.79614636,-636276.87553054
"X1.607",369669.79614636,-37976.87553054
"X1.608",371640.79614636,778413.12446946
"X1.609",372954.79614636,-639171.87553054
"X1.610",373611.79614636,-859191.87553054
"X1.611",373611.79614636,-70786.87553054
"X1.612",373611.79614636,391448.12446946
"X1.613",373611.79614636,436803.12446946
"X1.614",373611.79614636,908688.12446946
"X1.615",374268.79614636,-400816.87553054
"X1.616",374925.79614636,900003.12446946
"X1.617",376239.79614636,-945076.87553054
"X1.618",377553.79614636,-458716.87553054
"X1.619",377553.79614636,-44731.87553054
"X1.620",379524.79614636,-696106.87553054
"X1.621",380181.79614636,-174041.87553054
"X1.622",380181.79614636,520758.12446946
"X1.623",381495.79614636,-826381.87553054
"X1.624",381495.79614636,43083.12446946
"X1.625",381495.79614636,746568.12446946
"X1.626",382152.79614636,567078.12446946
"X1.627",382809.79614636,-1052191.87553054
"X1.628",382809.79614636,955973.12446946
"X1.629",383466.79614636,-211676.87553054
"X1.630",383466.79614636,-53416.87553054
"X1.631",384123.79614636,-750146.87553054
"X1.632",384780.79614636,805433.12446946
"X1.633",385437.79614636,-146056.87553054
"X1.634",387408.79614636,681913.12446946
"X1.635",387408.79614636,840173.12446946
"X1.636",388065.79614636,-13851.87553054
"X1.637",388065.79614636,535233.12446946
"X1.638",388722.79614636,511108.12446946
"X1.639",390036.79614636,-557146.87553054
"X1.640",390036.79614636,-299491.87553054
"X1.641",390036.79614636,95193.12446946
"X1.642",392007.79614636,-352566.87553054
"X1.643",392007.79614636,640418.12446946
"X1.644",392664.79614636,-466436.87553054
"X1.645",394635.79614636,741743.12446946
"X1.646",395949.79614636,-559076.87553054
"X1.647",397263.79614636,-712511.87553054
"X1.648",397920.79614636,202308.12446946
"X1.649",399234.79614636,-257031.87553054
"X1.650",400548.79614636,426188.12446946
"X1.651",401205.79614636,-531091.87553054
"X1.652",401205.79614636,382763.12446946
"X1.653",401862.79614636,-121931.87553054
"X1.654",403833.79614636,212923.12446946
"X1.655",404490.79614636,-880421.87553054
"X1.656",404490.79614636,-700931.87553054
"X1.657",404490.79614636,-542671.87553054
"X1.658",406461.79614636,781308.12446946
"X1.659",406461.79614636,1059228.12446946
"X1.660",407775.79614636,-375726.87553054
"X1.661",408432.79614636,172393.12446946
"X1.662",409089.79614636,391448.12446946
"X1.663",409089.79614636,1031243.12446946
"X1.664",409746.79614636,-320721.87553054
"X1.665",409746.79614636,476368.12446946
"X1.666",411060.79614636,-467401.87553054
"X1.667",411717.79614636,-635311.87553054
"X1.668",412374.79614636,-440381.87553054
"X1.669",412374.79614636,696388.12446946
"X1.670",412374.79614636,987818.12446946
"X1.671",413688.79614636,646208.12446946
"X1.672",413688.79614636,959833.12446946
"X1.673",414345.79614636,812188.12446946
"X1.674",415659.79614636,-560041.87553054
"X1.675",415659.79614636,443558.12446946
"X1.676",416316.79614636,136688.12446946
"X1.677",416973.79614636,-1057016.87553054
"X1.678",416973.79614636,-667156.87553054
