"","CN","PLT_CN","PREV_TRE_CN","INVYR","STATECD","UNITCD","COUNTYCD","PLOT","SUBP","TREE","CONDID","AZIMUTH","DIST","PREVCOND","STATUSCD","SPCD","SPGRPCD","DIA","DIAHTCD","HT","HTCD","ACTUALHT","TREECLCD","CR","CCLCD","TREEGRCD","AGENTCD","CULL","DAMLOC1","DAMTYP1","DAMSEV1","DAMLOC2","DAMTYP2","DAMSEV2","DECAYCD","STOCKING","VOLCFNET","VOLCFGRS","VOLCSNET","VOLCSGRS","VOLBFNET","VOLBFGRS","VOLCFSND","GROWCFGS","GROWBFSL","GROWCFAL","MORTCFGS","MORTBFSL","MORTCFAL","REMVCFGS","REMVBFSL","REMVCFAL","DIACHECK","MORTYR","SALVCD","UNCRCD","CPOSCD","CLIGHTCD","CVIGORCD","CDENCD","CDIEBKCD","TRANSCD","TREEHISTCD","DIACALC","CULLBF","CULLCF","BFSND","CFSND","SAWHT","BOLEHT","HTCALC","SITREE","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_DATE","MODIFIED_IN_INSTANCE","HTDMP","ROUGHCULL","CULL_FLD","RECONCILECD","PREVDIA","FGROWCFGS","FGROWBFSL","FGROWCFAL","FMORTCFGS","FMORTBFSL","FMORTCFAL","FREMVCFGS","FREMVBFSL","FREMVCFAL","P2A_GRM_FLG","TREECLCD_NERS","TREECLCD_SRS","TREECLCD_NCRS","STANDING_DEAD_CD","PREV_STATUS_CD","TPA_UNADJ","TPAMORT_UNADJ","TPAREMV_UNADJ","TPAGROW_UNADJ","DRYBIO_BOLE","DRYBIO_TOP","DRYBIO_STUMP","DRYBIO_SAPLING","DRYBIO_BG","CARBON_AG","CARBON_BG","CYCLE","SUBCYCLE","DISEASE_SRS","DIEBACK_SEVERITY_SRS","DAMAGE_AGENT_CD1","DAMAGE_AGENT_CD2","DAMAGE_AGENT_CD3","VOLCSSND","DRYBIO_SAWLOG","DRYBIO_AG","CULL_BF_ROTTEN","CULL_BF_ROTTEN_CD","CULL_BF_ROUGH","CULL_BF_ROUGH_CD","PREVDIA_FLD","TREECLCD_31_NCRS","TREE_GRADE_NCRS","BOUGHS_AVAILABLE_NCRS","BOUGHS_HRVST_NCRS","TREECLCD_31_NERS","AGENTCD_NERS","BFSNDCD_NERS","CAVITY_USE_PNWRS","GST_PNWRS"
"488528",205400457010854,43223944010478,NA,2000,1,6,33,20,1,2,1,45,3.7,NA,1,601,41,5.6,1,37,1,37,3,25,4,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,0.8228,1.510473,1.777027,NA,NA,NA,NA,1.510473,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-12-07",10854,"2016-01-13",489998,0,NA,15,NA,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,3,NA,NA,NA,6.018046,NA,NA,NA,39.586476,19.072139,3.422116,NA,12.435653,31.040366,6.217827,7,0,0,NA,NA,NA,NA,NA,NA,62.080731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"488552",244450552010854,43223944010478,NA,2000,1,6,33,20,101,3,1,NA,NA,1,1,601,41,5.6,1,37,1,37,3,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0.182198,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,15,NA,NA,NA,NA,NA,NA,"2000-01-01",10478,"2016-01-13",489998,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",NA,3,NA,NA,1,NA,0,0,100,NA,NA,NA,NA,NA,0,0,7,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"494059",205434772010854,43102986010478,NA,2000,1,6,71,10,3,5,1,168,15.4,NA,1,601,41,5.1,1,40,1,40,3,25,2,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1.0716,1.54666,1.54666,NA,NA,NA,NA,1.54666,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-12-07",10854,"2016-01-13",489998,0,NA,0,NA,5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,3,NA,NA,NA,6.018046,NA,NA,NA,40.534865,21.26863,3.786938,NA,13.227139,32.795217,6.61357,7,0,0,NA,NA,NA,NA,NA,NA,65.590433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"497386",205434065010854,43100239010478,NA,2000,1,6,71,148,3,7,1,8,4.7,NA,1,601,41,2.7,1,26,1,26,3,15,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-12-07",10854,"2016-01-13",489998,0,NA,NA,NA,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,3,NA,NA,NA,74.965282,NA,NA,NA,NA,NA,NA,16.761855,3.624127,8.380928,1.812064,7,0,NA,NA,NA,NA,NA,NA,NA,16.761855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"497395",205434074010854,43100239010478,NA,2000,1,6,71,148,4,8,1,30,1.8,NA,1,601,41,3.4,1,39,1,39,2,25,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-12-07",10854,"2016-01-13",489998,0,NA,NA,NA,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,2,NA,NA,NA,74.965282,NA,NA,NA,NA,NA,NA,29.913187,6.269033,14.956594,3.134517,7,0,NA,NA,NA,NA,NA,NA,NA,29.913187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"497420",205434126010854,43100600010478,NA,2000,1,6,71,149,1,2,1,142,19.7,NA,1,601,41,8.1,1,72,1,72,2,35,2,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,2.1448,8.622702,8.622702,NA,NA,NA,NA,8.622702,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-12-07",10854,"2016-01-13",489998,0,NA,0,NA,8.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,2,NA,NA,NA,6.018046,NA,NA,NA,225.983774,80.084846,14.747886,NA,62.938671,160.408253,31.469336,7,0,0,NA,NA,NA,NA,NA,NA,320.816506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"502127",244455758010854,43477417010478,NA,2000,1,6,89,22,102,9,1,NA,NA,NA,1,601,41,2.4,1,20,1,20,3,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,0,NA,NA,NA,NA,NA,NA,"2000-01-01",10478,"2016-01-13",489998,NA,NA,NA,NA,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",NA,3,NA,NA,1,NA,0,0,100,NA,NA,NA,NA,NA,0,0,7,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"503882",205456554010854,43501360010478,NA,2000,1,6,95,47,3,4,1,92,10.1,NA,1,601,41,11.6,1,61,1,61,3,35,2,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,3.6758,15.309996,15.309996,NA,NA,NA,NA,15.309996,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-12-07",10854,"2016-01-13",489998,0,NA,0,NA,11.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,3,NA,NA,NA,6.018046,NA,NA,NA,401.244375,110.382585,20.524424,NA,102.961431,266.075692,51.480716,7,0,0,NA,NA,NA,NA,NA,NA,532.151384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"534112",204688567010854,22305763010478,205400457010854,2001,1,6,33,20,1,2,1,45,3.7,1,2,601,41,5.9,1,39,3,39,3,NA,NA,NA,50,0,NA,NA,NA,NA,NA,NA,1,NA,2.155982,2.155982,NA,NA,NA,NA,2.155982,0,0,-0.351273,0,0,1.775746,0,0,0,0,1999,NA,NA,NA,NA,NA,NA,NA,NA,22,5.9,NA,NA,NA,NA,NA,NA,38,NA,"2009-12-07",10854,"2020-10-13",290487,0,NA,0,NA,5.6,0,0,-0.351273,0,0,1.775746,0,0,0,"",NA,NA,NA,1,1,6.018046,1.399546,0,6.018046,54.852769,25.523348,4.683305,NA,17.402735,42.529711,8.701368,8,1,NA,NA,NA,NA,NA,NA,NA,85.059422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"534332",204692630010854,22302497010478,NA,2001,1,6,49,29,1,7,1,330,2.2,1,1,601,41,2.7,1,23,1,23,3,40,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6856,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2.61,NA,NA,NA,NA,NA,NA,23,NA,"2009-12-07",10854,"2020-10-13",290487,0,NA,NA,3,NA,0,0,0,0,0,0,0,0,0,"",NA,3,NA,NA,NA,74.965282,0,0,0,NA,NA,NA,16.761855,3.624127,8.380928,1.812064,8,1,NA,NA,NA,NA,NA,NA,NA,16.761855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"534949",204696268010854,22303500010478,205434772010854,2001,1,6,71,10,3,5,1,168,15.4,1,1,601,41,5.4,1,36,1,36,3,30,4,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0.5837,1.564641,1.564641,NA,NA,NA,NA,1.564641,0,0,0.007818,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,5.25,NA,NA,NA,NA,NA,NA,38,NA,"2009-12-07",10854,"2020-10-13",290487,0,NA,0,NA,5.1,0,0,0.007818,0,0,0,0,0,0,"",NA,3,NA,NA,1,6.018046,0,0,6.018046,41.006111,20.415254,3.652201,NA,13.068171,32.536783,6.534086,8,1,0,NA,NA,NA,NA,NA,NA,65.073566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"535404",204696398010854,22303523010478,NA,2001,1,6,71,91,4,2,1,17,4.5,NA,1,601,41,8.8,1,77,1,77,3,25,3,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,2.4288,11.002744,11.002744,NA,NA,NA,NA,11.002744,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-12-07",10854,"2016-01-13",489998,0,NA,0,NA,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,3,NA,NA,NA,6.018046,NA,NA,NA,288.359915,96.003708,17.749752,NA,78.598597,201.056688,39.299299,8,1,0,NA,NA,NA,NA,NA,NA,402.113375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"565593",204742628010854,22336217010478,NA,2002,1,6,71,89,3,10,1,172,4.3,1,1,601,41,1,1,15,1,15,3,25,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1159,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.81,NA,NA,NA,NA,NA,NA,14,NA,"2009-12-07",10854,"2020-10-13",290487,0,NA,NA,3,NA,0,0,0,0,0,0,0,0,0,"",NA,3,NA,NA,NA,74.965282,0,0,0,NA,NA,NA,1.227984,0.376494,0.613992,0.188247,8,2,NA,NA,NA,NA,NA,NA,NA,1.227984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"629185",204839048010854,22346432010478,NA,2004,1,6,89,60,2,8,1,138,1,1,1,601,41,3.4,1,24,1,24,2,15,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5474,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2.78,NA,NA,NA,NA,NA,NA,21,NA,"2009-12-07",10854,"2020-10-13",290487,0,NA,NA,3,NA,0,0,0,0,0,0,0,0,0,"",NA,2,NA,NA,NA,74.965282,0,0,0,NA,NA,NA,29.913187,6.269033,14.956594,3.134517,8,4,NA,NA,NA,NA,NA,NA,NA,29.913187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"629561",204840539010854,22346798010478,205456554010854,2004,1,6,95,47,3,4,1,92,10.1,1,1,601,41,12.5,1,63,1,63,2,40,2,3,NA,20,NA,NA,NA,NA,NA,NA,NA,4.1118,14.605864,18.25733,10.853056,13.56632,53.81529,67.269112,14.605864,-0.140826,0.519615,-0.140826,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,12.05,NA,NA,NA,NA,NA,NA,62,NA,"2009-12-07",10854,"2020-10-13",290487,0,NA,20,NA,11.6,-0.140826,0.519615,-0.140826,0,0,0,0,0,0,"",NA,2,NA,NA,1,6.018046,0,0,6.018046,382.790484,100.467307,18.666059,NA,96.890406,250.961925,48.445203,8,4,0,NA,NA,NA,NA,10.853056,284.436892,501.92385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"684554",209240518010854,81656719010478,204688567010854,2006,1,6,33,20,1,2,1,NA,NA,1,2,601,41,5.9,1,39,4,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2010-01-19",10854,"2020-10-13",290487,0,NA,NA,NA,5.9,0,0,0,0,0,0,0,0,0,"",NA,NA,NA,0,2,6.018046,0,0,0,NA,NA,NA,NA,NA,0,0,9,1,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"684754",209244291010854,81664138010478,204692630010854,2006,1,6,49,29,1,7,1,NA,NA,1,2,601,41,2.9,1,23,3,23,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,2005,NA,NA,NA,NA,NA,NA,NA,NA,31,2.9,NA,NA,NA,NA,NA,NA,25,NA,"2010-01-19",10854,"2020-10-13",290487,0,NA,NA,NA,2.7,0,0,0,0,0,0,0,0,0,"",NA,NA,NA,0,1,74.965282,0,0,0,NA,NA,NA,NA,NA,0,0,9,1,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"685368",209247601010854,81601034010478,204696398010854,2006,1,6,71,91,4,2,1,17,4.5,1,1,601,41,9.2,1,81,1,81,3,45,3,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,2.5963,12.718121,12.718121,NA,NA,NA,NA,12.718121,0,0,0.372908,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,9,NA,NA,NA,NA,NA,NA,79,NA,"2010-01-19",10854,"2020-10-13",290487,0,NA,0,NA,8.8,0,0,0.372908,0,0,0,0,0,0,"",NA,3,NA,NA,1,6.018046,0,0,6.018046,333.316515,107.422471,19.895517,NA,89.871596,230.317252,44.935798,9,1,0,NA,NA,NA,NA,NA,NA,460.634503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"685461",209248753010854,81603700010478,NA,2006,1,6,77,80,1,3,1,336,17.4,NA,1,601,41,5.5,1,53,1,53,2,35,4,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0.8001,2.627895,2.627895,NA,NA,NA,NA,2.627895,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2010-01-19",10854,"2015-11-19",489998,5.2,NA,0,NA,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,2,NA,NA,NA,6.018046,NA,NA,NA,68.871872,33.723417,6.042082,NA,21.788629,54.318686,10.894315,9,1,0,NA,NA,NA,NA,NA,NA,108.637371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
